dank,crack,shaft,stroke,sphere,flesh,
,crater,tower,feel,orb,skin,
humid,cut,sword,tap,globe,beef,
misty,,stick,grope,globule,pork,
muggy,gap,pillar,nuzzle,ovoid,muscle,
,mouth,mast,prod,droplet,pulp,
slippery,pit,rod,flick,bead,chunk,
,pocket,rail,graze,bolus,marrow,
soaked,,extremity,finger,pellet,giblet,
sodden,tunnel,beam,brush,ballon,loin,
soggy,void,protrusion,palpate,bulb,grub,
,window,limb,tap,tumor,chuck,
drenched,aperture,knob,fondle,nugget,offal,
dripping,breach,leg,rub,gob,chow,
drizzling,burrow,staff,caress,clump,fillet,
moistened,cave,protuberance,palm,knot,sausage-stuff,
pouring,cavern,ridge,probe,pebble,remains,
raining,cavity,flagstaff,tickle,boulder,carrion,
,chamber,wand,dab,rondure,blood-paste,
saturated,chasm,stud,pat,,crus,
soaking,chink,length,manhandle,,gristle,
sopping,cistern,lodestone,press,,entrail,
soused,cleft,peg,manipulate,,organic-solid,
teeming,covert,pillar,handle,,bits,
aqueous,cranny,spire,pet,,taco-filling,
clammy,den,boom,paw,,snapper,
dewy,depression,post,hold,,,
showery,,eminence,massage,,,
slimy,,caber,poke,,,
slushy,excavation,lance,thumb,,,
soppy,eyelet,scepter,squeeze,,,
teary,fissure,trunk,nuzzle,,,
water-logged,foramen,skewer,nudge,,,
watery,fracture,skyscraper,fiddle with,,,
wringing-wet,gash,mound,clutch,,,
swampy,gorge,stalk,tippy tap,,,
not dry,hollow,twig,grasp,,,
drenched in sweat,hovel,baton,clench,,,
boggy,keyhole,rodule,inspect,,,
clammy,lacuna,obelisk,fidget,,,
musty,lair,steeple,lick,,,
juicy,nest,column,osculate,,,
damp,niche,monolith,smooch,,,
,nick,turret,scrape,,,
squelching,,minaret,ravish,,,
dewy,orifice,belfry,explore,,,
Dougan's,,spike,meddle with,,,
marshy,passage,keep,titillate,,,
steamy,peephole,dowel,itch,,,
swampy,perforation,Burj Kalifa,palm,,,
squishy,pockmark,cylinder,clasp,,,
soppin',puncture,stilt,pet,,,
sloshy,,Empire State Building,impinge,,,
gooey,retreat,arrow,taint,,,
sweaty,,dagger,blow,,,
creamy,shaft,extension,prod,,,
,shelter,,stimulate,,,
,split,,contact,,,
,tear,,butt into,,,
,vacuity,,closely neighbour,,,
,,,sense,,,
,crack,,pinch,,,
,slit,,,,,
,receptacle,,,,,
,trench,,,,,
,nook,,,,, 
,peephole,,,,,
,invagination,,,,,
,ravine,,,,,
,indent,,,,,
,yoni,,,,,
,shallow,,,,,
,gorge,,,,,
,gutter,,,,,
,ravine,,,,,
,channel,,,,,
,cavity ,,,,,
,depths,,,,,
,sulcus,,,,,
,aperture,,,,,
,canyon,,,,,
,maw,,,,,
,crevice,,,,,
,center,,,,,
,inlet,,,,,
,tomb,,,,,
,catacomb,,,,,